"","E","taxa"
"1",10,"Clicks"
"2",4,"Max_PPRL_dB"
"3",4,"CumSEL_dB"
"4",9,"secs_per_bin"
"5",9,"son_prop"
"6",4,"StDvSEL"
"7",8,"StDv_sonprop_hr"
"8",2,"SPres"
"9",1,"JD"
"10",3,"mean.chl"
"11",5,"mean.npp"
"12",10,"mean.sst"
"13",2,"ssh"
"14",2,"t5"
"15",6,"t500"
"16",2,"t1000"
"17",4,"s5"
"18",2,"s500"
"19",4,"s1000"
"20",6,"curSp5"
"21",3,"curSp500"
"22",5,"curSp1000"
"23",6,"curDir5"
"24",5,"curDir500"
"25",6,"curDir1000"
