"","E","taxa"
"1",7,"Clicks"
"2",1,"Max_PPRL_dB"
"3",10,"CumSEL_dB"
"4",1,"secs_per_bin"
"5",1,"son_prop"
"6",8,"StDvSEL"
"7",2,"StDv_sonprop_hr"
"8",2,"SPres"
"9",1,"JD"
"10",3,"mean.chl"
"11",3,"mean.npp"
"12",7,"mean.sst"
"13",7,"ssh"
"14",3,"t5"
"15",8,"t500"
"16",7,"t1000"
"17",6,"s5"
"18",5,"s500"
"19",3,"s1000"
"20",2,"curSp5"
"21",4,"curSp500"
"22",10,"curSp1000"
"23",3,"curDir5"
"24",7,"curDir500"
"25",4,"curDir1000"
