"","E","taxa"
"1",9,"Clicks"
"2",6,"Max_PPRL_dB"
"3",6,"CumSEL_dB"
"4",9,"secs_per_bin"
"5",9,"son_prop"
"6",2,"StDvSEL"
"7",10,"StDv_sonprop_hr"
"8",2,"SPres"
"9",1,"JD"
"10",9,"mean.chl"
"11",3,"mean.npp"
"12",3,"mean.sst"
"13",6,"ssh"
"14",3,"t5"
"15",3,"t500"
"16",2,"t1000"
"17",4,"s5"
"18",3,"s500"
"19",1,"s1000"
"20",6,"curSp5"
"21",5,"curSp500"
"22",4,"curSp1000"
"23",10,"curDir5"
"24",10,"curDir500"
"25",7,"curDir1000"
